"abkuerzung","bezeichnung","bis","fk_zaehler","id1","richtung_in","richtung_out","von","objectid","geometry"
"FZS_INGA","In Gassen","20150909000000","YPH14106664","63","Paradeplatz","Rathaus","20141107000000","47","POINT (2683267 1247228.9)"
"FZS_LETD","Letten / Dynamo","20150331000000","U15G3063869","27","Limmatplatz","Hauptbahnhof","20140710000000","48","POINT (2682978 1248743.9)"
"FZS_LETD","Letten / Dynamo","20160329000000","U15G3063869","3","Limmatplatz","Hauptbahnhof","20151001000000","49","POINT (2682978 1248743.9)"
"FZS_OHMO","Ohmstrasse Ost","20151001000000","U15G3063866","24","Bhf. Oerlikon","Sternen Oerlikon","20150331000000","50","POINT (2683557.5 1251702.4)"
"FZS_OHMW","Ohmstrasse West","20150925000000","U15G3104445","44","Bhf. Oerlikon","Sternen Oerlikon","20150331000000","51","POINT (2683573 1251686.9)"
"VZS_SCHU","Schulstrasse","","ECO10053914","2978","Irchel","Bahnhof Oerlikon","20190619000000","52","POINT (2683405.5 1251617.1)"
"FZS_WEIN","Weinbergfussweg","20200212000000","U15G3063872","32","Polyterrasse","Hauptbahnhof","20130711000000","53","POINT (2683511.2 1248165.5)"
"FZS_CHOR","Chorherrenweg","20160930000000","U15G4025180","391","Limmat","Meierhofplatz","20160401000000","54","POINT (2680002 1250595.9)"
"FZS_INGA","In Gassen","20141107000000","U15G3063871","31","Paradeplatz","Rathaus","20130711000000","55","POINT (2683267 1247228.9)"
"FZS_LANS","Langstrasse (Unterführung Süd)","","U15G3104444","39","Gleisanlagen","Limmat","20150310000000","56","POINT (2682359 1248456)"
"FZS_LANN","Langstrasse (Unterführung Nord)","20180208000000","U15G3063870","30","Limmatplatz","Helvetiaplatz","20130711000000","57","POINT (2682322 1248435.1)"
"FZS_LIMM","Limmatquai","20181001000000","U15G3063873","33","Rathaus","Seeufer","20130711000000","58","POINT (2683437 1247198.9)"
"FZS_MILI","Militärbrücke","","U15G3063864","20","Löwenplatz","Langstrasse","20130711000000","59","POINT (2682689 1247734.9)"
"FZS_ZEHN","Zehntenhausplatz Unterführung","20150331000000","U15G3104442","35","Louis Conne Weg","In Böden","20131128000000","60","POINT (2680577 1252580.9)"
"FZS_ZEHN","Zehntenhausplatz Unterführung","20160331000000","U15G3104442","4","Louis Conne Weg","In Böden","20151001000000","61","POINT (2680577 1252580.9)"
"FZS_QUAS","Quaibrücke Süd (Seeseite)","20160215000000","U15G3063867","25","Bellevue","Bürkliplatz","20130823000000","62","POINT (2683407.5 1246794.6)"
"FZS_KATZ","Katzenbach","20171004000000","U15G3104442","1691","Affoltern","Seebach","20170411000000","63","POINT (2681402 1253279.9)"
"VZS_LANN","Langstrasse (Unterführung Nord)","20180920000000","Y2G12102807","2319","Helvetiaplatz","Limmatplatz","20170908000000","64","POINT (2682278 1248324.9)"
"VZS_LANN","Langstrasse (Unterführung Nord)","20191031000000","Y2H18106793","3597","Helvetiaplatz","Limmatplatz","20181030000000","65","POINT (2682278 1248324.9)"
"VZS_BUCH","Bucheggplatz","","ECO07111527","2976","Hofwiesenstrasse / Höngg","---","20190619000000","66","POINT (2682646.8 1250363.9)"
"FZS_OHMW","Ohmstrasse West","","U15G3063867","1358","Sternen Oerlikon","Bhf. Oerlikon","20160902000000","67","POINT (2683557.2 1251702.2)"
"FZS_LETD","Letten / Dynamo","20170410000000","U15G3063869","1359","Limmatplatz","Hauptbahnhof","20161001000000","68","POINT (2682978 1248743.9)"
"FZS_HARD","Hardeggsteg","20170410000000","U15G4025180","1360","Kloster-Fahr-Weg","Hardturmstrasse","20161001000000","69","POINT (2680439 1249929.9)"
"FZS_ZEHN","Zehntenhausplatz Unterführung","20170410000000","U15G3104442","1361","Louis Conne Weg","In Böden","20161001000000","70","POINT (2680577 1252580.9)"
"FZS_MYTH","Mythenquai Unterführung","20170410000000","U15G3104443","1362","Seeufer","Bhf. Wollishofen","20161001000000","71","POINT (2682813 1245489.9)"
"FZS_QUAS","Quaibrücke Süd (Seeseite)","20170313000000","YCH16039437","1365","Bürkliplatz","Bellevue","20161018000000","72","POINT (2683407.5 1246794.6)"
"VZS_LANS","Langstrasse (Unterführung Süd)","20171002000000","Y2G13013264","2320","Helvetiaplatz","Limmatplatz","20170908000000","73","POINT (2682360 1248448.2)"
"FZS_CHOR","Chorherrenweg","20181001000000","U15G4025180","2958","Limmat","Meierhofplatz","20180410000000","74","POINT (2680002 1250595.9)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20181001000000","U15G3063869","2959","Limmat","Gleisanlagen","20180410000000","75","POINT (2682171 1249123.9)"
"VZS_MUEH","Mühlebachstrasse","","Y2H18106792","3598","Bellevue","Riesbach","20181031000000","76","POINT (2684006 1246565.9)"
"VZS_BUCH","Bucheggplatz","20190618000000","ECO07111527","4237","Hofwiesenstrasse","Höngg","20190314000000","77","POINT (2682647 1250363.9)"
"FZS_CHOR","Chorherrenweg","20190929000000","U15G3063873","4238","Limmat","Meierhofplatz","20190402000000","78","POINT (2680002 1250595.9)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20191003000000","U15G3063869","4239","Limmat","Gleisanlagen","20190402000000","79","POINT (2682171 1249123.9)"
"FZS_LETD","Letten / Dynamo","","U15G3063869","2984","Limmatplatz","Hauptbahnhof","20191004000000","80","POINT (2682977.8 1248744)"
"FZS_OHMW","Ohmstrasse West","20160420000000","U15G3063865","393","Sternen Oerlikon","Bhf. Oerlikon","20160402000000","81","POINT (2683557.5 1251702.4)"
"FZS_OHMO","Ohmstrasse Ost","","U15G3104447","394","Bhf. Oerlikon","Sternen Oerlikon","20160401000000","82","POINT (2683573 1251686.9)"
"FZS_KATZ","Katzenbach","20160930000000","U15G3104442","392","Affoltern","Seebach","20160401000000","83","POINT (2681402 1253279.9)"
"FZS_CASS","Cassiopeiasteg","20160930000000","U15G3104443","395","Stadtgrenze","Bellevue","20160405000000","84","POINT (2683020.2 1244136.2)"
"VZS_TOED","Tödistrasse","","Y2G13124877","1692","Seeufer","Hauptbahnhof","20170522000000","85","POINT (2682881 1246548.9)"
"FZS_LETD","Letten / Dynamo","20180409000000","U15G3063869","2638","Limmatplatz","Hauptbahnhof","20171005000000","86","POINT (2682978 1248743.9)"
"FZS_HARD","Hardeggsteg","20180409000000","U15G4025180","2639","Kloster-Fahr-Weg","Hardturmstrasse","20171005000000","87","POINT (2680439 1249929.9)"
"FZS_ZEHN","Zehntenhausplatz Unterführung","","U15G3104442","2640","Louis Conne Weg","In Böden","20171005000000","88","POINT (2680577 1252580.9)"
"FZS_MYTH","Mythenquai Unterführung","","U15G3104443","2641","Seeufer","Bhf. Wollishofen","20171005000000","89","POINT (2682813 1245489.9)"
"VZS_LANN","Langstrasse (Unterführung Nord)","","Y2H19101255","2989","Helvetiaplatz","Limmatplatz","20191108000000","90","POINT (2682278 1248324.4)"
"FZS_KATZ","Katzenbach","","YPH15108550","2994","Affoltern","Seebach","20200203000000","91","POINT (2681401.5 1253280.1)"
"VZS_LANS","Langstrasse (Unterführung Süd)","20170908000000","Y2H16039396","722","Helvetiaplatz","Limmatplatz","20160427000000","92","POINT (2682360 1248448.2)"
"FZS_KLOE","Kloster-Fahr-Weg (Europabrücke)","","U15G6121229","1681","Werdinsel","Innenstadt","20170113000000","93","POINT (2680049 1250303.9)"
"FZS_CASS","Cassiopeiasteg","","U15G3104446","2642","Stadtgrenze","Bellevue","20171017000000","94","POINT (2683020.2 1244136.2)"
"VZS_BINZ","Binzmühlestrasse","20190314000000","ECO09113500","3282","Oerlikon","Glaubtenstrasse","20181010000000","95","POINT (2681857 1251990.9)"
"VZS_LIMB","Limmatquai --> Bellevue","","Y2H19070585","2982","Bellevue","---","20190810000000","96","POINT (2683447.2 1247062.6)"
