date,count
2019-01-31 03,0.96
2019-01-31 04,1.01
2019-01-31 05,1.79
2019-01-31 06,8.66
2019-01-31 07,25.22
2019-01-31 08,49.96
2019-01-31 09,45.84
2019-01-31 10,25.11
2019-01-31 11,17.12
2019-01-31 12,21.02
2019-01-31 13,22.73
2019-01-31 14,18.38
2019-01-31 15,18.25
2019-01-31 16,25.51
2019-01-31 17,39.06
2019-01-31 18,41.09
2019-01-31 19,28.94
2019-01-31 20,18.31
2019-01-31 21,15.05
2019-01-31 22,7.07
2019-01-31 23,4.99
2019-02-01 00,2.81
2019-02-01 01,1.44
2019-02-01 02,0.47
2019-02-01 03,0.60
2019-02-01 04,0.66
2019-02-01 05,1.00
2019-02-01 06,4.32
2019-02-01 07,13.55
2019-02-01 08,32.58
2019-02-01 09,35.81
2019-02-01 10,17.85
2019-02-01 11,9.94
2019-02-01 12,11.95
2019-02-01 13,12.44
2019-02-01 14,11.81
2019-02-01 15,10.20
2019-02-01 16,17.54
2019-02-01 17,28.39
2019-02-01 18,24.88
2019-02-01 19,14.09
2019-02-01 20,8.41
2019-02-01 21,6.93
2019-02-01 22,4.31
2019-02-01 23,4.09
2019-02-02 00,4.42
2019-02-02 01,4.04
2019-02-02 02,2.59
2019-02-02 03,1.73
2019-02-02 04,2.99
2019-02-02 05,2.22
2019-02-02 06,1.47
2019-02-02 07,3.13
2019-02-02 08,8.25
2019-02-02 09,13.73
2019-02-02 10,19.05
2019-02-02 11,21.14
2019-02-02 12,24.05
2019-02-02 13,25.34
2019-02-02 14,23.67
2019-02-02 15,23.75
2019-02-02 16,24.93
2019-02-02 17,18.34
2019-02-02 18,14.06
2019-02-02 19,13.98
2019-02-02 20,10.75
2019-02-02 21,8.00
2019-02-02 22,8.12
2019-02-02 23,7.53
2019-02-03 00,6.08
2019-02-03 01,5.35
2019-02-03 02,3.99
2019-02-03 03,2.96
2019-02-03 04,2.54
2019-02-03 05,2.04
2019-02-03 06,1.44
2019-02-03 07,2.75
2019-02-03 08,6.95
2019-02-03 09,11.67
2019-02-03 10,19.20
2019-02-03 11,23.25
2019-02-03 12,26.35
2019-02-03 13,28.60
2019-02-03 14,27.75
2019-02-03 15,27.60
2019-02-03 16,29.66
2019-02-03 17,22.18
2019-02-03 18,16.73
2019-02-03 19,12.39
2019-02-03 20,9.62
2019-02-03 21,8.11
2019-02-03 22,6.60
2019-02-03 23,4.78
2019-02-04 00,3.09
2019-02-04 01,2.19
2019-02-04 02,0.82
2019-02-04 03,2.38
2019-02-04 04,2.12
2019-02-04 05,2.34
2019-02-04 06,4.66
2019-02-04 07,11.09
2019-02-04 08,37.36
2019-02-04 09,35.49
2019-02-04 10,17.39
2019-02-04 11,14.09
2019-02-04 12,15.76
2019-02-04 13,15.74
2019-02-04 14,14.69
2019-02-04 15,15.14
2019-02-04 16,20.06
2019-02-04 17,38.20
2019-02-04 18,44.47
2019-02-04 19,29.47
2019-02-04 20,19.95
2019-02-04 21,13.78
2019-02-04 22,10.04
2019-02-04 23,5.54
2019-02-05 00,4.04
2019-02-05 01,2.84
2019-02-05 02,1.27
2019-02-05 03,0.78
2019-02-05 04,2.21
2019-02-05 05,2.81
2019-02-05 06,9.39
2019-02-05 07,27.20
2019-02-05 08,57.27
2019-02-05 09,49.86
2019-02-05 10,26.07
2019-02-05 11,19.88
2019-02-05 12,23.25
2019-02-05 13,23.21
2019-02-05 14,18.59
2019-02-05 15,20.53
2019-02-05 16,26.98
2019-02-05 17,43.11
2019-02-05 18,45.78
2019-02-05 19,29.27
2019-02-05 20,21.35
2019-02-05 21,15.58
2019-02-05 22,9.72
2019-02-05 23,5.05
2019-02-06 00,0.68
2019-02-06 05,7.12
2019-02-06 06,9.80
2019-02-06 07,28.35
2019-02-06 08,58.78
2019-02-06 09,51.52
2019-02-06 10,24.75
2019-02-06 11,18.58
2019-02-06 12,24.41
2019-02-06 13,23.64
2019-02-06 14,19.49
2019-02-06 15,21.81
2019-02-06 16,27.59
2019-02-06 17,42.42
2019-02-06 18,47.78
2019-02-06 19,33.53
2019-02-06 20,17.87
2019-02-06 21,8.88
2019-02-06 22,7.67
2019-02-06 23,4.96
2019-02-07 00,3.67
2019-02-07 01,2.11
2019-02-07 02,1.25
2019-02-07 03,1.47
2019-02-07 04,1.71
2019-02-07 05,2.26
2019-02-07 06,7.92
2019-02-07 07,28.41
2019-02-07 08,56.15
2019-02-07 09,49.02
2019-02-07 10,23.41
2019-02-07 11,18.24
2019-02-07 12,22.12
2019-02-07 13,22.38
2019-02-07 14,18.75
2019-02-07 15,19.38
2019-02-07 16,27.98
2019-02-07 17,39.99
2019-02-07 18,45.05
2019-02-07 19,32.26
2019-02-07 20,21.33
2019-02-07 21,17.73
2019-02-07 22,13.20
2019-02-07 23,8.95
2019-02-08 00,5.26
2019-02-08 01,3.21
2019-02-08 02,2.08
2019-02-08 03,1.48
2019-02-08 04,1.54
2019-02-08 05,2.11
2019-02-08 06,8.12
2019-02-08 07,20.84
2019-02-08 08,42.56
2019-02-08 09,40.29
2019-02-08 10,20.22
2019-02-08 11,12.98
2019-02-08 12,16.65
2019-02-08 13,16.88
2019-02-08 14,12.91
2019-02-08 15,12.24
2019-02-08 16,17.95
2019-02-08 17,24.27
2019-02-08 18,33.68
2019-02-08 19,19.60
2019-02-08 20,15.59
2019-02-08 21,11.41
2019-02-08 22,8.89
2019-02-08 23,7.47
2019-02-09 00,7.99
2019-02-09 01,5.81
2019-02-09 02,3.61
2019-02-09 03,2.21
2019-02-09 04,2.47
2019-02-09 05,1.96
2019-02-09 06,2.06
2019-02-09 07,4.69
2019-02-09 08,9.06
2019-02-09 09,14.99
2019-02-09 10,22.00
2019-02-09 11,24.35
2019-02-09 12,28.60
2019-02-09 13,28.81
2019-02-09 14,29.60
2019-02-09 15,27.51
2019-02-09 16,26.72
2019-02-09 17,23.89
2019-02-09 18,18.94
2019-02-09 19,16.49
2019-02-09 20,14.49
2019-02-09 21,9.93
2019-02-09 22,9.15
2019-02-09 23,8.14
2019-02-10 00,5.60
2019-02-10 01,4.42
2019-02-10 02,3.94
2019-02-10 03,2.44
2019-02-10 04,2.09
2019-02-10 05,1.88
2019-02-10 06,0.94
2019-02-10 07,2.41
2019-02-10 08,5.21
2019-02-10 09,9.99
2019-02-10 10,13.81
2019-02-10 11,17.20
2019-02-10 12,18.26
2019-02-10 13,17.40
2019-02-10 14,18.33
2019-02-10 15,18.28
2019-02-10 16,17.55
2019-02-10 17,21.32
2019-02-10 18,16.48
2019-02-10 19,12.81
2019-02-10 20,11.22
2019-02-10 21,9.42
2019-02-10 22,7.33
2019-02-10 23,5.47
2019-02-11 00,3.94
2019-02-11 01,2.31
2019-02-11 02,1.05
2019-02-11 03,1.88
2019-02-11 04,2.69
2019-02-11 05,2.98
2019-02-11 06,9.73
2019-02-11 07,28.99
2019-02-11 08,58.06
2019-02-11 09,51.32
2019-02-11 10,24.99
2019-02-11 11,20.44
2019-02-11 12,23.20
2019-02-11 13,24.31
2019-02-11 14,19.98
2019-02-11 15,21.35
2019-02-11 16,29.47
2019-02-11 17,46.54
2019-02-11 18,50.68
2019-02-11 19,33.80
2019-02-11 20,23.09
2019-02-11 21,17.69
2019-02-11 22,10.88
2019-02-11 23,5.91
2019-02-12 00,3.47
2019-02-12 01,2.67
2019-02-12 02,1.76
2019-02-12 03,1.46
2019-02-12 04,1.42
2019-02-12 05,2.34
2019-02-12 06,10.61
2019-02-12 07,31.55
2019-02-12 08,62.46
2019-02-12 09,49.87
2019-02-12 10,25.69
2019-02-12 11,20.47
2019-02-12 12,23.64
2019-02-12 13,23.67
2019-02-12 14,21.14
2019-02-12 15,21.99
2019-02-12 16,29.32
2019-02-12 17,46.67
2019-02-12 18,50.14
2019-02-12 19,35.68
2019-02-12 20,23.32
2019-02-12 21,19.85
2019-02-12 22,13.49
2019-02-12 23,7.80
2019-02-13 00,2.99
2019-02-13 01,2.28
2019-02-13 02,0.78
2019-02-13 03,0.86
2019-02-13 04,1.45
2019-02-13 05,2.58
2019-02-13 06,10.05
2019-02-13 07,29.96
2019-02-13 08,62.96
2019-02-13 09,52.53
2019-02-13 10,25.99
2019-02-13 11,20.55
2019-02-13 12,23.67
2019-02-13 13,26.02
2019-02-13 14,21.62
2019-02-13 15,23.13
2019-02-13 16,31.36
2019-02-13 17,45.51
2019-02-13 18,49.60
2019-02-13 19,35.21
2019-02-13 20,22.56
2019-02-13 21,18.52
2019-02-13 22,13.53
2019-02-13 23,8.60
2019-02-14 00,4.51
2019-02-14 01,2.49
2019-02-14 02,1.34
2019-02-14 03,1.45
2019-02-14 04,1.80
2019-02-14 05,2.73
2019-02-14 06,9.68
2019-02-14 07,29.07
2019-02-14 08,58.11
2019-02-14 09,51.89
2019-02-14 10,27.14
2019-02-14 11,20.81
2019-02-14 12,23.94
2019-02-14 13,26.06
2019-02-14 14,24.27
2019-02-14 15,26.33
2019-02-14 16,33.14
2019-02-14 17,49.75
2019-02-14 18,49.74
2019-02-14 19,32.12
2019-02-14 20,19.05
2019-02-14 21,16.85
2019-02-14 22,10.88
