date,count
2020-01-29 13,24.82
2020-01-29 14,21.1
2020-01-29 15,22.07
2020-01-29 16,30.32
2020-01-29 17,44.93
2020-01-29 18,49.35
2020-01-29 19,34.64
2020-01-29 20,24.05
2020-01-29 21,18
2020-01-29 22,14.85
2020-01-29 23,7.96
2020-01-30 00,4.68
2020-01-30 01,1.85
2020-01-30 02,1.55
2020-01-30 03,1.18
2020-01-30 04,1.57
2020-01-30 05,2.76
2020-01-30 06,9.65
2020-01-30 07,30.61
2020-01-30 08,63.35
2020-01-30 09,52.6
2020-01-30 10,26.99
2020-01-30 11,18.81
2020-01-30 12,19.89
2020-01-30 13,21.21
2020-01-30 14,18.67
2020-01-30 15,20.9
2020-01-30 16,27.63
2020-01-30 17,41.31
2020-01-30 18,47.21
2020-01-30 19,33.14
2020-01-30 20,23.46
2020-01-30 21,19.37
2020-01-30 22,13.74
2020-01-30 23,9.36
2020-01-31 00,4.77
2020-01-31 01,1.39
2020-01-31 04,3.4
2020-01-31 05,2.88
2020-01-31 06,9.43
2020-01-31 07,25.94
2020-01-31 08,57.64
2020-01-31 09,50.3
2020-01-31 10,26.27
2020-01-31 11,21.95
2020-01-31 12,25.36
2020-01-31 13,25.02
2020-01-31 14,21.98
2020-01-31 15,23.83
2020-01-31 16,29.67
2020-01-31 17,41.93
2020-01-31 18,41.58
2020-01-31 19,19.5
2020-01-31 20,15.55
2020-01-31 21,14.12
2020-01-31 22,11.26
2020-01-31 23,11.19
2020-02-01 00,10.8
2020-02-01 01,7.98
2020-02-01 02,4.68
2020-02-01 03,3.79
2020-02-01 04,2.94
2020-02-01 05,2.58
2020-02-01 06,2.48
2020-02-01 07,4.83
2020-02-01 08,10.56
2020-02-01 09,17.98
2020-02-01 10,24.01
2020-02-01 11,27.14
2020-02-01 12,32.04
2020-02-01 13,32.44
2020-02-01 14,29.96
2020-02-01 15,30.6
2020-02-01 16,31.3
2020-02-01 17,27.19
2020-02-01 18,22.83
2020-02-01 19,18.52
2020-02-01 20,14.17
2020-02-01 21,10.4
2020-02-01 22,10.54
2020-02-01 23,9.61
2020-02-02 00,7.77
2020-02-02 01,6.99
2020-02-02 02,4.23
2020-02-02 03,1.99
2020-02-02 04,1.2
2020-02-02 05,1.21
2020-02-02 06,0.75
2020-02-02 07,2.62
2020-02-02 08,6.77
2020-02-02 09,12.38
2020-02-02 10,18.81
2020-02-02 11,23.94
2020-02-02 12,28.02
2020-02-02 13,30.08
2020-02-02 14,28.71
2020-02-02 15,27.4
2020-02-02 16,26.1
2020-02-02 17,26.3
2020-02-02 18,19.06
2020-02-02 19,16.27
2020-02-02 20,12.45
2020-02-02 21,11.26
2020-02-02 22,9.37
2020-02-02 23,6.08
2020-02-03 00,4.29
2020-02-03 01,2.82
2020-02-03 02,1.37
2020-02-03 03,1.63
2020-02-03 04,2.65
2020-02-03 05,3.27
2020-02-03 06,9.77
2020-02-03 07,29
2020-02-03 08,61.75
2020-02-03 09,51.26
2020-02-03 10,25.08
2020-02-03 11,19.08
2020-02-03 12,21.58
2020-02-03 13,22.85
2020-02-03 14,19.21
2020-02-03 15,21.99
2020-02-03 16,29.23
2020-02-03 17,45.06
2020-02-03 18,50.64
2020-02-03 19,35.01
2020-02-03 20,25.37
2020-02-03 21,17.44
2020-02-03 22,10.33
2020-02-03 23,6.2
2020-02-04 00,3.26
2020-02-04 01,2.06
2020-02-04 02,1.33
2020-02-04 03,0.92
2020-02-04 04,1.08
2020-02-04 05,2.05
2020-02-04 06,10.82
2020-02-04 07,31.63
2020-02-04 08,64.56
2020-02-04 09,54.11
2020-02-04 10,24.45
2020-02-04 11,18.27
2020-02-04 12,20.45
2020-02-04 13,21.81
2020-02-04 14,17.31
2020-02-04 15,19.83
2020-02-04 16,28
2020-02-04 17,45.93
2020-02-04 18,50.1
2020-02-04 19,35.79
2020-02-04 20,25.44
2020-02-04 21,19.38
2020-02-04 22,12.07
2020-02-04 23,8.42
