id,name,village,lon,lat
134,Wapping High Street,Wapping,-0.06797,51.504904
135,Clerkenwell Green,Clerkenwell,-0.104708,51.52326
136,Queen Victoria Street,St. Paul's,-0.097441,51.511961
138,Green Street,Mayfair,-0.157436,51.512276
139,Lambeth Road,Vauxhall,-0.117974,51.494881
140,Finsbury Square,Moorgate,-0.085634,51.520962
141,Chapel Place,Marylebone,-0.147203,51.515308
142,West Cromwell Road,Earl's Court,-0.198286,51.493724
143,Pont Street,Knightsbridge,-0.161203,51.496886
144,Kennington Cross,Kennington,-0.111435,51.48894
145,Ilchester Place,Kensington,-0.202759,51.500743
146,Vauxhall Bridge,Pimlico,-0.129361,51.488365
148,Tachbrook Street,Victoria,-0.138364,51.492111
149,Kennington Road Post Office,Oval,-0.110683,51.484788
150,Holy Trinity Brompton,Knightsbridge,-0.168917,51.497056
151,Chepstow Villas,Notting Hill,-0.201554,51.512136
152,Hampton Street,Walworth,-0.101536,51.49217
153,Bayswater Road,Hyde Park,-0.174411,51.511933
154,Waterloo Station 3,Waterloo,-0.112824,51.503791
155,Lexham Gardens,Kensington,-0.191933,51.495866
156,New Kent Road,The Borough,-0.092921,51.494436
157,Wright's Lane,Kensington,-0.193068,51.500397
158,Trebovir Road,Earl's Court,-0.19617,51.490853
159,Great Marlborough Street,Soho,-0.137841,51.514619
160,Waterloo Place,St. James's,-0.131773,51.506633
161,Guildhouse Street,Victoria,-0.141334,51.492345
162,Southampton Place,Holborn,-0.121328,51.517606
163,Sloane Avenue,Knightsbridge,-0.167894,51.493184
164,Cleveland Gardens,Bayswater,-0.183118,51.515607
165,Orsett Terrace,Bayswater,-0.183716,51.517932
166,Seville Street,Knightsbridge,-0.159237,51.501855
167,Eccleston Place,Victoria,-0.147624,51.49395
168,Argyll Road,Kensington,-0.195455,51.500401
169,Porchester Place,Paddington,-0.165164,51.514746
170,Hardwick Street,Clerkenwell,-0.108068,51.527842
171,Collingham Gardens,Earl's Court,-0.186753,51.491615
172,Sumner Place,South Kensington,-0.173715,51.491211
173,Waterloo Road,South Bank,-0.113001,51.50486
174,Strand,Strand,-0.115163,51.512529
175,Worship Street,Shoreditch,-0.079608,51.521668
176,Gloucester Terrace,Bayswater,-0.188098,51.517919
177,Ashley Place,Victoria,-0.140947,51.49616
178,Warwick Square,Pimlico,-0.141923,51.489856
180,North Audley Street,Mayfair,-0.153645,51.512911
181,Belgrave Square,Belgravia,-0.152317,51.499412
182,Bell Street,Marylebone,-0.165842,51.522029
183,Riverlight North,Nine Elms,-0.136123,51.482362
184,Portland Place,Marylebone,-0.145211,51.520715
185,Alderney Street,Pimlico,-0.140741,51.488057
186,South Wharf Road,Paddington,-0.17581,51.517335
187,Queen's Gate (South),South Kensington,-0.178433,51.492479
188,Nutford Place,Marylebone,-0.164393,51.516517
189,Claremont Square,Angel,-0.109914,51.531666
190,Rampayne Street,Pimlico,-0.132845,51.489975
191,Hyde Park Corner,Hyde Park,-0.15352,51.503117
192,Wardour Street,Soho,-0.133201,51.512515
193,Bankside Mix,Bankside,-0.100186,51.505817
194,Hop Exchange,The Borough,-0.091773,51.504627
195,Milroy Walk,South Bank,-0.106237,51.507244
196,Union Street,The Borough,-0.098497,51.503688
197,Stamford Street,South Bank,-0.111606,51.505569
199,Great Tower Street,Monument,-0.082989,51.510484
200,LMU Commercial Road,Whitechapel,-0.066078,51.514924
201,Dorset Square,Marylebone,-0.161113,51.522596
202,Leman Street,Aldgate,-0.069542,51.512363
203,West Smithfield Rotunda,Farringdon,-0.100791,51.518218
204,Margery Street,Clerkenwell,-0.112432,51.526599
206,New Road 1,Whitechapel,-0.062697,51.518154
207,Grosvenor Crescent,Belgravia,-0.153194,51.501352
208,Mallory Street,Marylebone,-0.166304,51.525051
209,Denyer Street,Knightsbridge,-0.165101,51.493583
210,Hinde Street,Marylebone,-0.151926,51.516814
211,Cadogan Place,Knightsbridge,-0.158105,51.494645
212,Campden Hill Road,Notting Hill,-0.199004,51.506584
213,Wellington Arch,Hyde Park,-0.149569,51.50274
214,Endsleigh Gardens,Euston,-0.130504,51.526838
215,Moorfields,Moorgate,-0.088285,51.519069
216,Old Brompton Road,South Kensington,-0.18119,51.490945
217,Wormwood Street,Liverpool Street,-0.082422,51.516154
218,St. Luke's Church,Chelsea,-0.170194,51.489716
219,Bramham Gardens,Earl's Court,-0.190393,51.490163
220,Chelsea Green,Chelsea,-0.166485,51.490664
221,Horseferry Road,Westminster,-0.130458,51.494816
222,Knightsbridge,Hyde Park,-0.155349,51.502757
223,Rodney Road,Walworth,-0.09022,51.491484
224,Queensway,Kensington Gardens,-0.187402,51.51031
225,Notting Hill Gate Station,Notting Hill,-0.196422,51.509353
226,Charles II Street,West End,-0.131961,51.508446
227,Great Percy Street,Clerkenwell,-0.11548,51.528915
228,St. James's Square,St. James's,-0.134621,51.507424
229,Whitehall Place,Strand,-0.123179,51.506543
230,Poured Lines,Bankside,-0.103137,51.506692
231,Queen's Gate (Central),South Kensington,-0.178732,51.493967
232,Carey Street,Holborn,-0.112753,51.51501
233,Pall Mall East,West End,-0.130699,51.50777
234,Liverpool Road (N1 Centre),Angel,-0.106992,51.534504
235,Kennington Road,Vauxhall,-0.110889,51.495718
236,Fashion Street,Whitechapel,-0.073438,51.51838
237,Dock Street,Wapping,-0.068161,51.509786
238,Frampton Street,Paddington,-0.175116,51.523353
239,Warren Street Station,Euston,-0.138019,51.524438
240,Colombo Street,Southwark,-0.105692,51.505459
242,Beaumont Street,Marylebone,-0.151359,51.522008
243,Gloucester Street,Pimlico,-0.139625,51.490962
244,Earnshaw Street,Covent Garden,-0.128585,51.516118
245,Grosvenor Road,Pimlico,-0.142207,51.485357
246,Berry Street,Clerkenwell,-0.099994,51.522853
247,St. John's Wood Church,The Regent's Park,-0.167515,51.530529
248,Triangle Car Park,Hyde Park,-0.170279,51.506451
249,Harper Road,The Borough,-0.096191,51.498597
250,Royal Avenue 1,Chelsea,-0.162727,51.489932
251,Brushfield Street,Liverpool Street,-0.079249,51.518908
252,Jubilee Gardens,South Bank,-0.116542,51.504636
253,Shoreditch Park,Hoxton,-0.086379,51.534042
254,Chadwell Street,Angel,-0.106408,51.530515
255,Clifton Road,Maida Vale,-0.179592,51.525575
256,Houghton Street,Strand,-0.116764,51.51362
257,Westminster University,Marylebone,-0.154907,51.522481
258,Kensington Gore,Knightsbridge,-0.178656,51.501432
259,Bourne Street,Belgravia,-0.153233,51.490959
260,Broadwick Street,Soho,-0.13558,51.513684
261,Princes Square,Bayswater,-0.191351,51.513489
262,LSBU (Borough Road),Elephant & Castle,-0.103132,51.498744
263,St. Mary Axe,Aldgate,-0.08066,51.514225
264,Tysoe Street,Clerkenwell,-0.109256,51.526443
265,Southwick Street,Paddington,-0.169249,51.515953
266,Queen's Gate (North),Kensington,-0.180246,51.501026
267,Regency Street,Westminster,-0.132224,51.49206
268,Belgrave Road,Victoria,-0.144132,51.493204
269,Empire Square,The Borough,-0.08974,51.500823
270,Kennington Lane Rail Bridge,Vauxhall,-0.122492,51.486343
271,London Zoo,The Regent's Park,-0.156285,51.535836
272,Baylis Road,Waterloo,-0.110699,51.501444
273,Belvedere Road 1,South Bank,-0.114686,51.506133
274,Warwick Road,Olympia,-0.205284,51.496712
275,Barbican Centre,Barbican,-0.092176,51.520044
276,Lower Thames Street,Monument,-0.084985,51.509301
277,Kensington Church Street,Kensington,-0.191496,51.503157
278,Tooley Street,Bermondsey,-0.07962,51.503493
279,North Wharf Road,Paddington,-0.176645,51.518622
280,Royal Avenue 2,Chelsea,-0.162418,51.490083
281,Smith Square,Westminster,-0.127575,51.495805
282,Royal London Hospital,Whitechapel,-0.059642,51.519064
283,Kingsway,Covent Garden,-0.118478,51.514409
284,Lambeth North Station,Waterloo,-0.112031,51.49914
286,St. John's Wood Road,St. John's Wood,-0.174653,51.527294
287,Bedford Way,Bloomsbury,-0.128377,51.523673
288,Elizabeth Bridge,Victoria,-0.147478,51.492369
289,South Audley Street,Mayfair,-0.151296,51.50923
290,St Mary's Hospital,Paddington,-0.171103,51.518268
291,Claverton Street,Pimlico,-0.138089,51.484839
292,Montpelier Street,Knightsbridge,-0.165471,51.498884
293,Kensington Olympia Station,Olympia,-0.209494,51.498157
294,St. George's Square,Pimlico,-0.135635,51.488226
295,Swan Street,The Borough,-0.092762,51.500296
296,Knaresborough Place,Earl's Court,-0.190603,51.493631
297,Geraldine Street,Elephant & Castle,-0.106,51.496127
298,Curlew Street,Shad Thames,-0.074189,51.502279
299,Vincent Square,Westminster,-0.136928,51.493985
300,Serpentine Car Park,Hyde Park,-0.17306,51.505014
301,Marylebone Lane,Marylebone,-0.148105,51.514759
302,Putney Pier,Wandsworth,-0.216573,51.466907
303,Albert Gate,Hyde Park,-0.158456,51.502953
