date,avg(count)
2020-01-28T23,15.95
2020-01-29T00,26.4
2020-01-29T01,14.525
2020-01-29T02,4.8
2020-01-29T03,3.075
2020-01-29T04,1.8
2020-01-29T05,6.375
2020-01-29T06,13.975
2020-01-29T07,67.2
2020-01-29T08,197.625
2020-01-29T09,49.2
2020-01-29T10,177.95
2020-01-29T11,22.925
2020-01-29T12,29.925
2020-01-29T13,15.5
2020-01-29T14,15.25
2020-01-29T15,21.7
2020-01-29T16,22.725
2020-01-29T17,74.35
2020-01-29T18,105.075
2020-01-29T19,39.6
2020-01-29T20,119.575
2020-01-29T21,74.6
2020-01-29T22,15.85
2020-01-29T23,15.2
2020-01-30T00,27.225
2020-01-30T01,19.425
2020-01-30T02,7.425
2020-01-30T03,4.675
2020-01-30T04,3.15
2020-01-30T05,5.975
2020-01-30T06,14.4
2020-01-30T07,64.4
2020-01-30T08,193.725
2020-01-30T09,48.975
2020-01-30T10,184.65
2020-01-30T11,27.825
2020-01-30T12,12.3
2020-01-30T13,9.125
2020-01-30T14,12.2
2020-01-30T15,12.825
2020-01-30T16,26.75
2020-01-30T17,71.2
2020-01-30T18,78.4
2020-01-30T19,31.65
2020-01-30T20,97.6
2020-01-30T21,61.575
2020-01-30T22,15.875
2020-01-30T23,11.05
2020-01-31T00,24.875
2020-01-31T01,17.8
2020-01-31T02,9.725
2020-01-31T03,7.1
2020-01-31T04,3.075
2020-01-31T05,5.55
2020-01-31T06,12.725
2020-01-31T07,59.1
2020-01-31T08,180.825
2020-01-31T09,43.925
2020-01-31T10,150.125
2020-01-31T11,18.925
2020-01-31T12,30.775
2020-01-31T13,14.9
2020-01-31T14,17.075
2020-01-31T15,15.05
2020-01-31T16,24.425
2020-01-31T17,65.475
2020-01-31T18,54.6
2020-01-31T19,42.4
2020-01-31T20,84.375
2020-01-31T21,58.25
2020-01-31T22,16.475
2020-01-31T23,11.475
2020-02-01T03,41.25
2020-02-01T04,7.775
2020-02-01T05,4.35
2020-02-01T06,3.975
2020-02-01T07,6.075
2020-02-01T08,11.6
2020-02-01T09,22.225
2020-02-01T10,6.8
2020-02-01T11,21.65
2020-02-01T12,23.25
2020-02-01T13,18.05
2020-02-01T14,12.9
2020-02-01T15,18.525
2020-02-01T16,21.425
2020-02-01T17,15.225
2020-02-01T18,21.6
2020-02-01T19,28.475
2020-02-01T20,20.95
2020-02-01T21,25.575
2020-02-01T22,11.575
2020-02-01T23,12.15
2020-02-02T00,6.525
2020-02-02T01,7.825
2020-02-02T02,8.125
2020-02-02T03,11.575
2020-02-02T04,9.15
2020-02-02T05,3.675
2020-02-02T06,3.025
2020-02-02T07,3.9
2020-02-02T08,6.85
2020-02-02T09,15.25
2020-02-02T10,21.175
2020-02-02T11,17.225
2020-02-02T12,23.775
2020-02-02T13,14.275
2020-02-02T14,12.075
2020-02-02T15,12.075
2020-02-02T16,11.1
2020-02-02T17,17.575
2020-02-02T18,12.425
2020-02-02T19,13.425
2020-02-02T20,18.4
2020-02-02T21,15.625
2020-02-02T22,6.675
2020-02-02T23,6.375
2020-02-03T00,8.375
2020-02-03T01,5.475
2020-02-03T02,3.2
2020-02-03T03,1.25
2020-02-03T04,1.95
2020-02-03T05,4.85
2020-02-03T06,16.725
2020-02-03T07,62.875
2020-02-03T08,194.35
2020-02-03T09,42.95
2020-02-03T10,170.1
2020-02-03T11,21.5
2020-02-03T12,20
2020-02-03T13,13.375
2020-02-03T14,12.65
2020-02-03T15,11.925
2020-02-03T16,25.7
2020-02-03T17,64.7
2020-02-03T18,94.4
2020-02-03T19,29.65
2020-02-03T20,106.05
2020-02-03T21,75.5
2020-02-03T22,17.6
2020-02-03T23,13.6
2020-02-04T00,12.875
2020-02-04T01,8
2020-02-04T02,3.15
2020-02-04T03,1.95
2020-02-04T04,1.65
2020-02-04T05,7.1
2020-02-04T06,15.625
2020-02-04T07,63.075
2020-02-04T08,206.375
2020-02-04T09,47.275
2020-02-04T10,183.8
2020-02-04T11,22.275
2020-02-04T12,25.05
2020-02-04T13,12.975
2020-02-04T14,15.225
2020-02-04T15,13.3
2020-02-04T16,24.3
2020-02-04T17,72.3
2020-02-04T18,94.075
2020-02-04T19,32.625
2020-02-04T20,112.475
2020-02-04T21,63.6
2020-02-04T22,14.575
2020-02-04T23,17.35
2020-02-05T00,23.8
2020-02-05T01,16.85
2020-02-05T02,6.425
2020-02-05T03,3.45
2020-02-05T04,2
2020-02-05T05,6.5
2020-02-05T06,14.15
2020-02-05T07,68.6
2020-02-05T08,203.75
2020-02-05T09,48.875
2020-02-05T10,176.525
2020-02-05T11,29.4
2020-02-05T12,32.625
2020-02-05T13,12.125
2020-02-05T14,14.15
2020-02-05T15,17.325
2020-02-05T16,20.75
2020-02-05T17,71.7
2020-02-05T18,98.375
2020-02-05T19,29.425
2020-02-05T20,121.025
2020-02-05T21,63.6
2020-02-05T22,16.125
2020-02-05T23,16.525
2020-02-06T00,29.375
2020-02-06T01,16.25
2020-02-06T02,7.075
2020-02-06T03,4.5
2020-02-06T04,4.125
2020-02-06T05,6.875
2020-02-06T06,14.775
2020-02-06T07,67.525
2020-02-06T08,212.525
2020-02-06T09,50.05
2020-02-06T10,176.2
2020-02-06T11,26.925
2020-02-06T12,28.975
2020-02-06T13,17.025
2020-02-06T14,17.275
2020-02-06T15,14.7
2020-02-06T16,31.95
2020-02-06T17,71.175
2020-02-06T18,95.05
2020-02-06T19,34.375
2020-02-06T20,115.4
2020-02-06T21,64.25
2020-02-06T22,18.425
2020-02-06T23,9.075
2020-02-07T00,26.9
2020-02-07T01,17.375
2020-02-07T02,9.725
2020-02-07T03,4.825
2020-02-07T04,2.175
2020-02-07T05,5.6
2020-02-07T06,12.525
2020-02-07T07,59.325
2020-02-07T08,198.5
2020-02-07T09,47
2020-02-07T10,158.1
2020-02-07T11,20.375
2020-02-07T12,28.55
2020-02-07T13,13.4
2020-02-07T14,11.175
2020-02-07T15,12.9
2020-02-07T16,32.325
2020-02-07T17,61.825
2020-02-07T18,59.975
2020-02-07T19,50.525
2020-02-07T20,81.975
2020-02-07T21,57.7
2020-02-07T22,18
2020-02-07T23,9.5
2020-02-08T00,9.875
2020-02-08T01,14.725
2020-02-08T02,10.3
2020-02-08T03,12.35
2020-02-08T04,5.275
2020-02-08T05,3.725
2020-02-08T06,3.425
2020-02-08T07,7.725
2020-02-08T08,21.525
2020-02-08T09,23.225
2020-02-08T10,20.25
2020-02-08T11,14.275
2020-02-08T12,17.9
2020-02-08T13,14.725
2020-02-08T14,12.175
2020-02-08T15,18.2
2020-02-08T16,23.725
2020-02-08T17,20.35
2020-02-08T18,16.175
2020-02-08T19,9.3
2020-02-08T20,14.3
2020-02-08T21,25.8
2020-02-08T22,11.275
2020-02-08T23,7.75
2020-02-09T00,8.45
2020-02-09T01,7.45
2020-02-09T02,6.825
2020-02-09T03,10.225
2020-02-09T04,5.775
2020-02-09T05,4.925
2020-02-09T06,3.875
2020-02-09T07,3.625
2020-02-09T08,9.225
2020-02-09T09,12.7
2020-02-09T10,16.6
2020-02-09T11,14.1
2020-02-09T12,16.375
2020-02-09T13,13.8
2020-02-09T14,8.65
2020-02-09T15,9.225
2020-02-09T16,7.4
2020-02-09T17,8.325
2020-02-09T18,8.65
2020-02-09T19,9.575
2020-02-09T20,15.85
2020-02-09T21,12.2
2020-02-09T22,6.375
2020-02-09T23,6.7
2020-02-10T00,8.55
2020-02-10T01,5.225
2020-02-10T02,2.5
2020-02-10T03,1.7
2020-02-10T04,1.125
2020-02-10T05,4.975
2020-02-10T06,7.425
2020-02-10T07,24.125
2020-02-10T08,119.225
2020-02-10T09,47.575
2020-02-10T10,118.875
2020-02-10T11,21.875
2020-02-10T12,19.4
2020-02-10T13,12.3
2020-02-10T14,10.875
2020-02-10T15,17.125
2020-02-10T16,11.625
2020-02-10T17,36.425
2020-02-10T18,79.625
2020-02-10T19,21.125
2020-02-10T20,92.725
2020-02-10T21,23.825
2020-02-10T22,8.225
2020-02-10T23,10.425
2020-02-11T00,12.925
2020-02-11T01,6.125
2020-02-11T02,3.3
2020-02-11T03,1.85
2020-02-11T04,1.4
2020-02-11T05,4.325
2020-02-11T06,8.05
2020-02-11T07,36.45
2020-02-11T08,148.925
2020-02-11T09,53.625
2020-02-11T10,147.9
2020-02-11T11,19.675
2020-02-11T12,19.475
2020-02-11T13,11.6
2020-02-11T14,13.6
2020-02-11T15,12.8
2020-02-11T16,11.3
2020-02-11T17,57.775
2020-02-11T18,71.725
2020-02-11T19,20.85
2020-02-11T20,88.4
2020-02-11T21,55.225
2020-02-11T22,10.175
2020-02-11T23,12.8
2020-02-12T00,22.1
2020-02-12T01,12.575
2020-02-12T02,5.675
2020-02-12T03,3.425
2020-02-12T04,2.525
2020-02-12T05,5.475
2020-02-12T06,11.25
2020-02-12T07,45.35
2020-02-12T08,154.65
2020-02-12T09,55.025
2020-02-12T10,152.675
2020-02-12T11,26.125
2020-02-12T12,24.4
2020-02-12T13,14.55
2020-02-12T14,12.225
