id,value
Saint-Thomas-d'Aquin_4,771
Saint-Thomas-d'Aquin_5,797
Saint-Thomas-d'Aquin_6,738
Saint-Victor_0,916
Saint-Victor_1,1003
Saint-Victor_2,1112
Saint-Victor_3,1127
Saint-Victor_4,1093
Saint-Victor_5,1151
Saint-Victor_6,1080
Saint-Vincent-de-Paul_0,1525
Saint-Vincent-de-Paul_1,1733
Saint-Vincent-de-Paul_2,1874
Saint-Vincent-de-Paul_3,1932
Saint-Vincent-de-Paul_4,1866
Saint-Vincent-de-Paul_5,2021
Saint-Vincent-de-Paul_6,1829
Sainte-Avoie_0,374
Sainte-Avoie_1,410
Sainte-Avoie_2,440
Sainte-Avoie_3,451
Sainte-Avoie_4,443
Sainte-Avoie_5,470
Sainte-Avoie_6,466
Sainte-Marguerite_0,1870
Sainte-Marguerite_1,1950
Sainte-Marguerite_2,2082
Sainte-Marguerite_3,2129
Sainte-Marguerite_4,2071
Sainte-Marguerite_5,2216
Sainte-Marguerite_6,2207
Salpêtrière_0,945
Salpêtrière_1,1324
Salpêtrière_2,1409
Salpêtrière_3,1384
Salpêtrière_4,1338
Salpêtrière_5,1391
Salpêtrière_6,1099
Sorbonne_0,948
Sorbonne_1,1133
Sorbonne_2,1237
Sorbonne_3,1271
Sorbonne_4,1193
Sorbonne_5,1274
Sorbonne_6,1249
Ternes_0,820
Ternes_1,1013
Ternes_2,1093
Ternes_3,1131
Ternes_4,1071
Ternes_5,1100
Ternes_6,968
Val-de-Grâce_0,504
Val-de-Grâce_1,673
Val-de-Grâce_2,740
Val-de-Grâce_3,731
Val-de-Grâce_4,727
Val-de-Grâce_5,726
Val-de-Grâce_6,627
Villette_0,1372
Villette_1,1345
Villette_2,1449
Villette_3,1489
Villette_4,1464
Villette_5,1514
Villette_6,1570
Vivienne_0,259
Vivienne_1,480
Vivienne_2,538
Vivienne_3,535
Vivienne_4,510
Vivienne_5,525
Vivienne_6,367
