station_id,station_name,description,lat,lon
Halles,Place du Lieutenant Henri Karcher,Halles,48.86349087,2.340067104
Halles,Les Halles - Saint-Eustache,Halles,48.86362696,2.342623919
Charonne,Paganini - Davout,Charonne,48.85135,2.412021
Monnaie,Place Saint-André des Arts,Monnaie,48.85288617,2.342654429
Porte-Dauphine,Benjamin Godard - Victor Hugo,Porte-Dauphine,48.865983,2.275725
Grenelle,Bir Hakeim,Grenelle,48.85384405,2.289705348
Bonne-Nouvelle,Caire - Dussoubs,Bonne-Nouvelle,48.86785342,2.349364311
Belleville,Jourdain - Place des Grandes Rigoles,Belleville,48.87403114,2.389594764
Roquette,Chemin Vert - Saint-Maur,Roquette,48.86112461,2.381299026
Grenelle,Place Violet,Grenelle,48.84487894,2.290575653
Val-de-Grâce,Claude Bernard - Arbalète,Val-de-Grâce,48.83976677,2.347510904
Roquette,Ledru-Rollin - Charonne,Roquette,48.85345856,2.377246358
Plaisance,Pierre Larousse - Raymond Losserand,Plaisance,48.83059564,2.311918326
Grandes-Carrières,Lepic - Armée d'Orient,Grandes-Carrières,48.8875364,2.33430773
Champs-Elysées,Marignan - Champs-Elysées,Champs-Elysées,48.86949566,2.306613814
Saint-Georges,Jean-Baptiste Pigalle - La Bruyere,Saint-Georges,48.87939826,2.333709173
Auteuil,Mozart - Jasmin,Auteuil,48.85286125,2.268483571
Grandes-Carrières,Caulaincourt - Place Constantin Pecqueur,Grandes-Carrières,48.88967791,2.338178714
Plaine de Monceaux,Alfred Roll - Berthier,Plaine de Monceaux,48.88780857,2.300095298
Charonne,Eugène Reisz - Davout,Charonne,48.85652582,2.410531338
Vivienne,Favart - Italiens,Vivienne,48.87144635,2.338290106
Plaine de Monceaux,Reims - Porte d'Asnières,Plaine de Monceaux,48.89183445,2.30014466
Folie-Méricourt,Parmentier - Fontaine au Roi,Folie-Méricourt,48.86787671,2.372705979
Sorbonne,Sorbonne - Ecoles,Sorbonne,48.84968657,2.34349966
Champs-Elysées,Place du Canada,Champs-Elysées,48.86534627,2.310193788
Picpus,Lac Daumesnil - Saint-Maurice,Picpus,48.82774556,2.418365479
Picpus,Daumesnil - Picpus,Picpus,48.8374688,2.401765
Arsenal,Beaumarchais - Pas de la Mule,Arsenal,48.85558051,2.368433367
Europe,Londres - Amsterdam,Europe,48.87803446,2.326483541
Hôpital-Saint-Louis,Louis Blanc - Jemmapes,Hôpital-Saint-Louis,48.87933076,2.368448563
Hôpital-Saint-Louis,Quai de Valmy,Hôpital-Saint-Louis,48.88126952,2.368186042
Gare,Ivry - Simone Weil,Gare,48.82328393,2.365909517
Charonne,Jardin de l'Hospice Debrousse,Charonne,48.86145106,2.405686006
Grenelle,Emeriau - Beaugrenelle,Grenelle,48.8479125,2.28430599
La Chapelle,Rond-Point de la Chapelle,La Chapelle,48.89512661,2.359971106
Croulebarbe,Auguste Blanqui - Corvisart,Croulebarbe,48.8300989,2.3502726
Batignolles,Berthier - Porte de Clichy,Batignolles,48.89430232,2.312562796
Maison-Blanche,Place de Rungis,Maison-Blanche,48.82245595,2.347382729
Halles,Saint-Denis - Rivoli,Halles,48.85905934,2.3476943
Europe,Mairie du 8ème,Europe,48.877932,2.318264
Place-Vendôme,Cambon - Rivoli,Place-Vendôme,48.86614339,2.325180065
Invalides,Cité Vaneau,Invalides,48.85422107,2.319614924
Porte-Dauphine,Pergolèse - Marbeau,Porte-Dauphine,48.87356871,2.281512523
Pont-de-Flandre,Emile Reynaud - Porte de la Villette,Pont-de-Flandre,48.90098954,2.388702258
