date,count
2020-01-30 07,46.6125
2020-01-30 08,103.025
2020-01-30 09,95.275
2020-01-30 10,37.5375
2020-01-30 11,9.1125
2020-01-30 12,25.9125
2020-01-30 13,42.625
2020-01-30 14,49.525
2020-01-30 15,51.5375
2020-01-30 16,59.5375
2020-01-30 17,77.375
2020-01-30 18,98.525
2020-01-30 19,98.6875
2020-01-30 20,77.55
2020-01-30 21,53.6625
2020-01-30 22,48.3
2020-01-30 23,44.1125
2020-01-31 00,35.8625
2020-01-31 01,24.0375
2020-01-31 02,15.3375
2020-01-31 03,8.95
2020-01-31 04,5.7
2020-01-31 05,6.275
2020-01-31 06,10.8375
2020-01-31 07,41.55
2020-01-31 08,97.225
2020-01-31 09,95.275
2020-01-31 10,54.6625
2020-01-31 11,47.375
2020-01-31 12,66.15
2020-01-31 13,69.6125
2020-01-31 14,64.9625
2020-01-31 15,65.7125
2020-01-31 16,76.15
2020-01-31 17,93.725
2020-01-31 18,103.15
2020-01-31 19,101.65
2020-01-31 20,84.25
2020-01-31 21,62.8125
2020-01-31 22,52.4625
2020-01-31 23,46.9
2020-02-01 00,45.9375
2020-02-01 01,36.1125
2020-02-01 02,37.275
2020-02-01 03,24.75
2020-02-01 04,15.95
2020-02-01 05,9.1
2020-02-01 06,7.375
2020-02-01 07,8.4
2020-02-01 08,16.3
2020-02-01 09,33.5125
2020-02-01 10,35.3125
2020-02-01 11,54.725
2020-02-01 12,70.4375
2020-02-01 13,72.5
2020-02-01 14,75.5875
2020-02-01 15,80.85
2020-02-01 16,81.5125
2020-02-01 17,84.625
2020-02-01 18,81.1875
2020-02-01 19,63.9375
2020-02-01 20,50.6375
2020-02-01 21,46.475
2020-02-01 22,41.9375
2020-02-01 23,30.8625
2020-02-02 00,36.825
2020-02-02 01,34.4125
2020-02-02 02,35.5375
2020-02-02 03,24.5625
2020-02-02 04,16.3875
2020-02-02 05,8.9625
2020-02-02 06,6.8125
2020-02-02 07,5.025
2020-02-02 08,12.175
2020-02-02 09,26.15
2020-02-02 10,40.9125
2020-02-02 11,53.025
2020-02-02 12,61.3375
2020-02-02 13,62.025
2020-02-02 14,61.3
2020-02-02 15,58.475
2020-02-02 16,57.325
2020-02-02 17,47.1625
2020-02-02 18,48.6625
2020-02-02 19,44.8625
2020-02-02 20,35.6875
2020-02-02 21,23.25
2020-02-02 22,17.8
2020-02-02 23,18.8625
2020-02-03 00,14.2625
2020-02-03 01,6.975
2020-02-03 02,6.0125
2020-02-03 03,5.2
2020-02-03 04,6.9125
2020-02-03 05,6.275
2020-02-03 06,11.825
2020-02-03 07,42.65
2020-02-03 08,98.25
2020-02-03 09,91.5625
2020-02-03 10,54.025
2020-02-03 11,46.975
2020-02-03 12,60.2375
2020-02-03 13,65.9875
2020-02-03 14,56.2875
2020-02-03 15,54.7875
2020-02-03 16,62.5625
2020-02-03 17,78.6625
2020-02-03 18,105.075
2020-02-03 19,106.075
2020-02-03 20,80.85
2020-02-03 21,36.5375
2020-02-03 22,21.3375
2020-02-03 23,16.1125
2020-02-04 00,11.825
2020-02-04 01,8.025
2020-02-04 02,7.4
2020-02-04 03,4.1375
2020-02-04 04,2.3125
2020-02-04 05,5.1375
2020-02-04 06,12.3375
2020-02-04 07,49.2875
2020-02-04 08,106.225
2020-02-04 09,99.7
2020-02-04 10,52.7125
2020-02-04 11,48.9125
2020-02-04 12,65.4875
2020-02-04 13,65.625
2020-02-04 14,59.3
2020-02-04 15,54.525
2020-02-04 16,63.825
2020-02-04 17,81.55
2020-02-04 18,108.6125
2020-02-04 19,105.3625
2020-02-04 20,81.2375
2020-02-04 21,52.975
2020-02-04 22,49.65
2020-02-04 23,44.0125
2020-02-05 00,29.4
2020-02-05 01,12.975
2020-02-05 02,11.225
2020-02-05 03,5.85
2020-02-05 04,3.3125
2020-02-05 05,5.2625
2020-02-05 06,12.5625
2020-02-05 07,51.575
2020-02-05 08,111.35
2020-02-05 09,104.325
2020-02-05 10,59.5875
2020-02-05 11,50.4125
2020-02-05 12,68.275
2020-02-05 13,74.125
2020-02-05 14,66.6125
2020-02-05 15,60.2
2020-02-05 16,65.575
2020-02-05 17,83.8
2020-02-05 18,107.0625
2020-02-05 19,108.3625
2020-02-05 20,82.475
2020-02-05 21,56.0875
2020-02-05 22,50.975
2020-02-05 23,44.5125
2020-02-06 00,29.075
2020-02-06 01,15.2875
2020-02-06 02,10.15
2020-02-06 03,6.9625
2020-02-06 04,4.4875
2020-02-06 05,5.7125
2020-02-06 06,11.9625
2020-02-06 07,47.7875
2020-02-06 08,108.475
2020-02-06 09,103.5375
2020-02-06 10,59.5375
2020-02-06 11,51.25
2020-02-06 12,69.15
2020-02-06 13,70.2
2020-02-06 14,66.9
2020-02-06 15,62.4125
2020-02-06 16,73.3
2020-02-06 17,88.4375
2020-02-06 18,110.65
2020-02-06 19,106.6375
2020-02-06 20,79.025
2020-02-06 21,54.2625
2020-02-06 22,49.4
2020-02-06 23,46.7125
2020-02-07 00,31.225
2020-02-07 01,19.9
2020-02-07 02,13.8
2020-02-07 03,7.7
2020-02-07 04,5.7625
2020-02-07 05,7.125
2020-02-07 06,12.1875
2020-02-07 07,43.7
2020-02-07 08,105.8375
2020-02-07 09,99.325
2020-02-07 10,55.325
2020-02-07 11,49.7
2020-02-07 12,71.7375
2020-02-07 13,68.6875
2020-02-07 14,66.975
2020-02-07 15,67.3875
2020-02-07 16,75.6
2020-02-07 17,92.525
2020-02-07 18,107.0125
2020-02-07 19,103.1875
2020-02-07 20,81.125
2020-02-07 21,60.6
2020-02-07 22,52.8375
2020-02-07 23,47.725
2020-02-08 00,44.9
2020-02-08 01,36.825
2020-02-08 02,34.9
2020-02-08 03,22.775
2020-02-08 04,16.575
2020-02-08 05,12.8125
2020-02-08 06,9.2125
2020-02-08 07,13.4125
2020-02-08 08,29
2020-02-08 09,43.5125
2020-02-08 10,57.75
2020-02-08 11,66.1375
2020-02-08 12,74.7125
2020-02-08 13,73.125
2020-02-08 14,71.5125
2020-02-08 15,76.1
2020-02-08 16,58.4125
2020-02-08 17,42.675
2020-02-08 18,50.975
2020-02-08 19,61.1
2020-02-08 20,56.05
2020-02-08 21,44.3375
2020-02-08 22,38.2125
2020-02-08 23,37.3
2020-02-09 00,38.0625
2020-02-09 01,36.9875
2020-02-09 02,37.2
2020-02-09 03,24.275
2020-02-09 04,19.35
2020-02-09 05,12.8
2020-02-09 06,8.15
2020-02-09 07,7.6
2020-02-09 08,14.1875
2020-02-09 09,26.5125
2020-02-09 10,41.175
2020-02-09 11,49.7375
2020-02-09 12,60.5625
2020-02-09 13,57.4
2020-02-09 14,51.925
2020-02-09 15,55.5625
2020-02-09 16,52.975
2020-02-09 17,50.45
2020-02-09 18,49.4625
2020-02-09 19,46
2020-02-09 20,33.175
2020-02-09 21,30.3875
2020-02-09 22,25.4625
2020-02-09 23,22.5875
2020-02-10 00,14.925
2020-02-10 01,8.125
2020-02-10 02,7.575
2020-02-10 03,5.9125
2020-02-10 04,5.9
2020-02-10 05,6.2875
2020-02-10 06,9.3625
2020-02-10 07,21.075
2020-02-10 08,77.0125
2020-02-10 09,92.875
2020-02-10 10,51.175
2020-02-10 11,44.425
2020-02-10 12,57.5875
2020-02-10 13,61.0875
2020-02-10 14,50.275
2020-02-10 15,34.3125
2020-02-10 16,36.5625
2020-02-10 17,41.0625
2020-02-10 18,80.8125
2020-02-10 19,82.2
2020-02-10 20,36.5875
2020-02-10 21,28.5875
2020-02-10 22,34.6
2020-02-10 23,31.5625
2020-02-11 00,21.1
2020-02-11 01,11.1625
2020-02-11 02,8.75
2020-02-11 03,4.2125
2020-02-11 04,2.55
2020-02-11 05,4.9125
2020-02-11 06,8
2020-02-11 07,28.1625
2020-02-11 08,89.4
2020-02-11 09,99.8
2020-02-11 10,53.1
2020-02-11 11,46.0875
2020-02-11 12,60.675
2020-02-11 13,60.7625
2020-02-11 14,52.6875
2020-02-11 15,47.4
2020-02-11 16,45.3125
2020-02-11 17,66.75
2020-02-11 18,86.6125
2020-02-11 19,88.2125
2020-02-11 20,69.4875
2020-02-11 21,47.1
2020-02-11 22,45.5125
2020-02-11 23,39.8875
2020-02-12 00,25.1625
2020-02-12 01,14.4
2020-02-12 02,9.7125
2020-02-12 03,6.725
2020-02-12 04,3.3125
2020-02-12 05,5.6
2020-02-12 06,10.4625
2020-02-12 07,35.2625
2020-02-12 08,91.175
2020-02-12 09,97.2875
2020-02-12 10,55.25
2020-02-12 11,46.6875
2020-02-12 12,63.8
2020-02-12 13,61
2020-02-12 14,62.675
2020-02-12 15,53.2625
2020-02-12 16,58.9
2020-02-12 17,75.6625
2020-02-12 18,101.2875
2020-02-12 19,103.325
2020-02-12 20,78.7875
2020-02-12 21,53.025
2020-02-12 22,50.2125
2020-02-12 23,46.25
2020-02-13 00,32.4375
2020-02-13 01,19.3875
2020-02-13 02,12.15
